iucn_sid,pop_trend,iucn_version,iucn_rgn
18126049,Decreasing,2025-1,europe
190422,Decreasing,2025-1,europe
2057,Decreasing,2025-1,global
3590,Decreasing,2025-1,global
13654,Decreasing,2025-1,global
14549,Decreasing,2025-1,global
41668,Decreasing,2025-1,global
198731,Decreasing,2025-1,europe
43972,Decreasing,2025-1,europe
190279,Decreasing,2025-1,europe
154816,Decreasing,2025-1,europe
21857,Decreasing,2025-1,global
23148,Decreasing,2025-1,global
61338,Decreasing,2025-1,global
132753,Decreasing,2025-1,global
132759,Decreasing,2025-1,global
132777,Decreasing,2025-1,global
132826,Decreasing,2025-1,global
155261,Decreasing,2025-1,global
170310,Decreasing,2025-1,global
170311,Decreasing,2025-1,global
170316,Decreasing,2025-1,global
170338,Decreasing,2025-1,global
20432288,Decreasing,2025-1,global
20437726,Decreasing,2025-1,global
10088,Decreasing,2025-1,global
7854,Decreasing,2025-1,global
